country,co2,gdp,ind
ALB,0.99,1200.14,19.01
DZA,2.88,1794.41,58.61
AGO,0.69,655.53,72.12
ATG,4.44,10334.38,16.06
ARG,3.82,7695.59,27.61
ARM,1.13,621.42,38.98
AUS,17.21,21768.04,26.91
AUT,7.71,23974.20,30.63
AZE,3.80,655.10,45.33
BHS,6.04,18572.76,19.31
BGD,0.22,363.64,25.28
BRB,4.44,9565.40,16.33
BLR,5.34,1273.05,39.17
BEL,11.29,22695.31,26.99
BLZ,2.76,3330.95,21.19
BEN,0.25,345.95,13.88
BMU,7.97,56459.16,9.18
BTN,0.70,748.88,35.27
BOL,1.15,1010.91,29.79
BIH,6.30,1490.64,23.02
BWA,2.43,3204.00,52.65
BRA,1.89,3696.15,27.73
BRN,19.96,18350.13,63.67
BGR,5.40,1600.94,25.89
BFA,0.08,212.38,24.41
BDI,0.05,111.24,18.79
KHM,0.18,293.57,23.03
CMR,0.22,642.61,36.02
CAN,17.47,23559.50,33.21
CPV,0.43,1215.32,17.85
CAF,0.07,259.19,15.82
TCD,0.02,168.45,11.34
CHL,3.90,4877.52,38.40
CHN,2.70,949.18,45.92
COL,1.46,2523.98,29.47
COM,0.15,358.95,11.52
ZAR,0.03,86.76,20.30
COG,0.33,1026.83,72.15
CRI,1.40,4068.82,32.08
CIV,0.41,628.22,24.85
HRV,4.44,4861.68,28.53
CUB,2.34,2752.61,27.89
CYP,7.26,13421.66,19.07
CZE,12.13,5521.19,38.07
DNK,8.85,29992.94,26.81
DJI,0.55,753.12,15.35
DMA,1.47,4718.34,18.38
DOM,2.34,2792.92,35.91
EGY,2.09,1475.84,33.13
SLV,0.97,2211.02,31.60
GNQ,0.87,2410.21,85.94
ERI,0.17,172.76,22.97
EST,11.36,4144.38,27.53
ETH,0.09,124.73,12.36
FJI,1.06,2074.75,22.30
FIN,10.07,23529.59,34.63
FRA,6.02,21828.29,22.93
GAB,0.85,4102.60,56.26
GMB,0.21,324.49,13.07
GEO,1.03,692.00,22.36
DEU,10.12,22946.13,30.49
GHA,0.33,259.71,28.39
GRC,8.39,11396.23,21.21
GRD,2.02,5119.61,20.92
GIN,0.15,372.98,32.50
GNB,0.16,173.66,13.00
GUY,2.16,972.13,29.04
HND,0.81,1142.71,32.46
HKG,6.09,25374.50,11.56
HUN,5.61,4542.72,32.42
ISL,7.70,30951.24,26.14
IND,1.17,452.97,26.19
IDN,1.21,773.31,45.93
IRN,5.19,1550.09,36.74
IRQ,2.98,1063.48,84.38
IRL,10.76,25427.14,41.89
ITA,7.83,19269.03,28.43
JAM,3.99,3479.06,25.53
JPN,9.61,36789.22,32.40
JOR,3.23,1764.23,25.55
KAZ,8.58,1229.00,40.46
KEN,0.33,406.07,16.92
KIR,0.39,812.28,11.82
KOR,9.20,11346.66,38.06
KWT,30.46,19434.40,59.16
KGZ,0.92,278.66,31.39
LAO,0.20,326.34,22.90
LVA,2.60,3302.31,23.57
LBN,4.10,4612.20,22.76
LBR,0.15,196.99,11.62
LTU,3.49,3267.35,29.78
LUX,18.88,46457.89,18.35
MAC,3.79,14128.88,14.72
MKD,6.00,1785.33,33.71
MDG,0.12,252.38,14.23
MWI,0.08,155.27,17.92
MYS,5.41,4005.56,48.32
MDV,1.83,2284.97,15.04
MLI,0.05,214.47,20.57
MLT,5.29,9982.20,50.89
MRT,0.45,409.11,29.74
MUS,2.33,3861.04,30.97
MEX,3.83,5816.61,28.02
MDA,0.97,354.00,21.72
MNG,3.11,471.47,24.99
MAR,1.18,1271.81,29.11
MOZ,0.07,233.44,24.52
NAM,0.93,2061.62,27.96
NPL,0.13,225.17,22.13
NLD,10.38,24179.73,24.94
NZL,8.48,13375.43,25.04
NIC,0.72,775.83,28.22
NER,0.07,164.65,17.76
NOR,8.64,37472.37,41.95
OMN,9.74,8774.93,57.25
PAK,0.74,511.70,23.33
PLW,6.12,6251.98,15.26
PAN,1.96,3930.99,19.15
PNG,0.50,654.67,41.42
PRY,0.69,1323.33,22.48
PER,1.17,2060.58,29.89
PHL,1.02,1048.07,34.46
POL,7.85,4454.08,31.71
PRT,6.16,11443.02,28.03
ROM,4.01,1650.97,36.38
RUS,10.62,1775.14,37.95
RWA,0.08,214.23,13.58
WSM,0.79,1391.21,25.96
SAU,14.85,9400.81,53.91
SEN,0.41,493.57,23.23
SYC,6.96,7578.85,29.02
SLE,0.15,153.48,28.39
SGP,11.82,23814.56,34.55
SVK,6.78,5330.40,36.18
SVN,7.34,10044.98,35.63
SLB,0.40,1064.51,12.72
ZAF,8.38,3019.95,31.78
ESP,7.31,14421.94,29.23
LKA,0.54,871.20,27.28
KNA,2.32,8599.15,26.56
LCA,2.12,4622.29,19.15
VCT,1.46,3683.78,19.67
SDN,0.16,361.71,21.51
SUR,4.56,1911.05,25.16
SWZ,1.12,1400.24,44.98
SWE,5.61,27879.15,28.82
CHE,5.44,34787.17,27.25
SYR,3.98,1208.73,37.94
TJK,0.36,139.41,38.85
TZA,0.08,307.18,19.18
THA,3.19,1943.24,41.99
TGO,0.28,277.27,17.85
TON,1.24,1926.00,21.29
TTO,18.97,6311.11,49.49
TUN,2.08,2245.34,30.36
TUR,3.40,4189.48,31.48
TKM,7.92,645.28,44.39
UGA,0.06,255.78,22.90
UKR,6.52,635.71,36.32
GBR,9.23,25089.45,27.30
USA,19.54,35080.73,23.44
URY,1.61,6914.36,24.51
UZB,4.87,558.23,23.13
VUT,0.44,1469.76,11.22
VEN,6.27,4818.71,49.67
VNM,0.69,401.55,36.73
YEM,0.83,532.72,46.50
ZMB,0.18,317.37,25.29
ZWE,1.11,528.12,24.98